t,node,discovery_rate,Na,average_Na,average_Ne,pos_x,pos_y,min_discovery_rate,max_discovery_rate,stdev_discovery_rate
8146,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8147,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8148,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8149,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8150,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8151,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8152,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8153,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8154,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8155,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8156,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8157,,0.3,80,79.0,30.0,,,0.2911392405063291,0.3037974683544304,0.005837326748438384
8158,,0.3125,80,79.0,30.0,,,0.3037974683544304,0.31645569620253167,0.005904263328386352
8159,,0.3125,80,79.0,30.0,,,0.3037974683544304,0.31645569620253167,0.005904263328386352
8160,,0.3125,80,79.0,30.0,,,0.3037974683544304,0.31645569620253167,0.005904263328386352
8161,,0.3125,80,79.0,30.0,,,0.3037974683544304,0.31645569620253167,0.005904263328386352
8162,,0.325,80,79.0,30.0,,,0.31645569620253167,0.3291139240506329,0.005966201589444711
8163,,0.325,80,79.0,30.0,,,0.31645569620253167,0.3291139240506329,0.005966201589444711
8164,,0.325,80,79.0,30.0,,,0.31645569620253167,0.3291139240506329,0.005966201589444711
8165,,0.325,80,79.0,30.0,,,0.31645569620253167,0.3291139240506329,0.005966201589444711
8166,,0.33749999999999997,80,79.0,30.0,,,0.3291139240506329,0.34177215189873417,0.006023295728496926
8167,,0.33749999999999997,80,79.0,30.0,,,0.3291139240506329,0.34177215189873417,0.006023295728496926
8168,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8169,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8170,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8171,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8172,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8173,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8174,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8175,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8176,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8177,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8178,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8179,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8180,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8181,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8182,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8183,,0.35,80,79.0,30.0,,,0.34177215189873417,0.35443037974683544,0.006075682309999189
8184,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8185,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8186,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8187,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8188,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8189,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8190,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8191,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
